seqno	class	cx0	cy0	width0	height0
0	team2	0.371614583	0.397685185	0.006770833	0.032407407
1	audience	0.983854167	0.815277778	0.032291667	0.10462963
2	audience	0.94296875	0.601388889	0.011979167	0.030555556
3	audience	0.159375	0.776851852	0.011458333	0.040740741
4	audience	0.758854167	0.65462963	0.014583333	0.037037037
5	audience	0.951822917	0.839351852	0.059895833	0.089814815
6	audience	0.889322917	0.8	0.030729167	0.072222222
7	audience	0.446354167	0.959259259	0.058333333	0.07962963
8	audience	0.454947917	0.786111111	0.016145833	0.064814815
9	team2	0.576302083	0.405092593	0.013020833	0.034259259
10	team1	0.274739583	0.446759259	0.0078125	0.04537037
11	judge	0.407291667	0.449537037	0.0125	0.041666667
12	team1	0.423697917	0.4	0.008854167	0.031481481
13	team1	0.747395833	0.389351852	0.008333333	0.030555556
14	team1	0.6015625	0.452777778	0.013541667	0.040740741
15	team2	0.661458333	0.518981481	0.014583333	0.047222222
16	team2	0.22109375	0.452777778	0.0078125	0.046296296
17	audience	0.557291667	0.933796296	0.05625	0.130555556
18	judge	0.801302083	0.599074074	0.015104167	0.062962963
19	team1	0.5453125	0.45462963	0.0125	0.042592593
20	team2	0.48046875	0.514814815	0.009895833	0.051851852
21	team1	0.646875	0.488425926	0.013541667	0.050925926
22	team2	0.334375	0.500925926	0.013541667	0.053703704
23	team1	0.504427083	0.517592593	0.008854167	0.046296296
24	audience	0.456770833	0.700462963	0.015625	0.060185185
25	team1	0.601822917	0.559259259	0.011979167	0.055555556
26	team1	0.3546875	0.511574074	0.014583333	0.050925926
27	team2	0.51796875	0.496296296	0.0109375	0.051851852
28	team1	0.3015625	0.631481481	0.014583333	0.068518519
29	team2	0.1515625	0.587962963	0.011458333	0.061111111
30	team2	0.36640625	0.631944444	0.016145833	0.069444444
31	team1	0.595572917	0.408796296	0.0078125	0.028703704
32	team2	0.581770833	0.4375	0.008333333	0.034259259
