frame_no	class_no	xmin	ymin	xmax	ymax
0	0	1924	1102	2003	1191
0	0	2071	1099	2134	1201
0	0	2042	1133	2126	1218
0	1	1893	1126	1974	1214
0	1	1719	1102	1809	1191
0	1	1654	1082	1719	1167
0	2	1677	1065	1740	1153
0	2	1751	1054	1819	1153
0	2	1824	1068	1914	1150
0	3	1964	1071	2029	1157
0	3	2079	1071	2163	1167
0	3	2210	1102	2286	1191
0	4	2307	1112	2386	1204
0	4	2391	1123	2486	1218
0	4	2499	1157	2594	1252
1	0	1929	1096	2013	1189
1	0	2074	1107	2132	1199
1	0	2037	1137	2116	1223
1	1	1893	1131	1984	1216
1	1	1725	1107	1822	1199
1	1	1654	1089	1738	1182
1	2	1667	1062	1740	1148
1	2	1732	1065	1814	1158
1	2	1835	1069	1932	1151
1	3	1984	1076	2063	1165
1	3	2116	1082	2192	1161
1	3	2221	1103	2310	1182
1	4	2336	1103	2399	1206
1	4	2426	1127	2520	1234
1	4	2538	1165	2633	1258
2	0	1924	1096	2006	1186
2	0	2058	1110	2134	1189
2	0	2042	1134	2124	1223
2	1	1890	1134	1990	1213
2	1	1727	1107	1816	1199
2	1	1654	1089	1743	1179
2	2	1667	1065	1743	1158
2	2	1746	1065	1827	1151
2	2	1858	1062	1945	1148
2	3	1992	1076	2053	1155
2	3	2139	1079	2221	1172
2	3	2265	1110	2339	1192
2	4	2370	1124	2454	1213
2	4	2494	1137	2588	1230
2	4	2578	1182	2678	1268
3	0	1919	1096	2006	1179
3	0	2058	1110	2139	1186
3	0	2040	1137	2132	1216
3	1	1885	1141	1971	1210
3	1	1727	1117	1824	1196
3	1	1646	1086	1738	1168
3	2	1651	1058	1743	1151
3	2	1732	1065	1814	1161
3	2	1858	1069	1948	1151
3	3	2000	1069	2082	1161
3	3	2150	1079	2226	1158
3	3	2302	1103	2391	1192
3	4	2436	1127	2533	1223
3	4	2552	1158	2630	1244
3	4	2612	1179	2706	1268
4	0	1922	1095	2003	1174
4	0	2063	1106	2139	1191
4	0	2040	1126	2124	1218
4	1	1882	1129	1977	1208
4	1	1727	1106	1811	1187
4	1	1654	1092	1727	1160
4	2	1659	1061	1732	1143
4	2	1732	1044	1816	1140
4	2	1880	1058	1961	1150
4	3	2016	1068	2092	1160
4	3	2216	1092	2297	1174
4	3	2370	1106	2460	1204
4	4	2486	1133	2580	1225
4	4	2591	1174	2678	1255
4	4	2638	1197	2735	1286
5	0	1914	1096	2016	1182
5	0	2058	1103	2145	1192
5	0	2040	1134	2126	1220
5	1	1882	1131	1977	1216
5	1	1732	1110	1819	1196
5	1	1641	1089	1735	1168
5	2	1630	1062	1717	1137
5	2	1735	1062	1827	1141
5	2	1924	1058	2006	1148
5	3	2147	1093	2234	1168
5	3	2310	1103	2402	1189
5	3	2457	1134	2541	1216
5	4	2557	1148	2638	1254
5	4	2622	1175	2725	1261
5	4	2649	1216	2759	1313
6	0	1929	1096	2013	1182
6	0	2068	1107	2142	1203
6	0	2045	1141	2132	1223
6	1	1893	1131	1974	1216
6	1	1704	1100	1803	1196
6	1	1622	1082	1717	1182
6	2	1612	1065	1712	1148
6	2	1764	1055	1856	1131
6	2	1987	1069	2074	1151
6	3	2202	1089	2297	1172
6	3	2404	1113	2486	1203
6	3	2533	1151	2617	1244
6	4	2630	1165	2704	1265
6	4	2670	1203	2756	1296
6	4	2638	1237	2743	1333
7	0	2074	1112	2145	1201
7	0	2045	1140	2134	1218
7	0	1922	1099	2006	1180
7	1	1872	1129	1982	1214
7	1	1714	1099	1798	1194
7	1	1601	1082	1688	1157
7	2	1614	1054	1698	1140
7	2	1790	1048	1874	1119
7	2	2048	1051	2129	1136
7	3	2268	1092	2355	1170
7	3	2452	1133	2544	1204
7	3	2586	1163	2659	1231
7	4	2654	1177	2727	1242
7	4	2662	1221	2751	1293
7	4	2604	1242	2725	1340
8	0	2076	1107	2158	1199
8	0	2055	1141	2145	1220
8	0	1948	1100	2021	1199
8	1	1858	1124	1948	1213
8	1	1659	1096	1743	1192
8	1	1557	1069	1648	1148
8	2	1614	1055	1690	1127
8	2	1824	1045	1903	1127
8	2	2110	1062	2189	1144
8	3	2344	1089	2441	1175
8	3	2546	1131	2625	1216
8	3	2656	1155	2738	1241
8	4	2706	1186	2801	1289
8	4	2649	1216	2754	1330
8	4	2580	1258	2696	1381
9	0	2082	1112	2158	1204
